,Cluster Label,Cluster freq.,Skill,Skill freq,Category
0,48,50,project management,38,must
1,70,27,leadership,27,avg
2,120,25,business analysis,25,avg
3,4,24,software development,16,avg
4,23,24,integration,16,avg
5,39,23,sql,19,avg
6,56,23,team leadership,23,avg
7,121,23,requirements analysis,18,avg
8,76,22,strategy,21,avg
9,115,22,business process improvement,15,avg
10,123,21,agile methodologies,20,plus
11,58,17,change management,17,plus
12,77,17,strategic planning,10,plus
13,124,17,vendor management,15,plus
14,50,16,microsoft office,16,plus
