,Cluster Label,Cluster freq.,Skill,Skill freq,Category
0,0,23,sql,20,must
1,12,20,javascript,20,must
2,24,14,java,14,avg
3,31,13,software development,8,avg
4,44,12,html,12,avg
5,47,12,css,13,avg
6,2,11,xml,11,avg
7,35,11,project management,9,avg
8,15,10,team leadership,11,avg
9,27,10,mysql,10,avg
10,5,9,web services,11,avg
11,36,9,web development,9,avg
12,3,8,scrum,8,plus
13,6,8,web applications,10,plus
14,46,8,jquery,8,plus
15,61,8,microsoft office,8,plus
16,9,7,asp.net,4,plus
17,22,7,hibernate,7,plus
18,33,7,testing,6,plus
19,38,7,business analysis,7,plus
20,41,7,spring,4,plus
21,54,7,jsp,6,plus
